date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:48	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.13.delayed	(from http://arya.rime.co/collections)
11:39:49	8181/8181	---M--	200	added ('OK')	application/javascript	etag:%2210b0b9cbacd54683e3b7bc4f225cedb4%22	/rime.s3.amazonaws.com/static/js/vendors.10b0b9cbacd5.js	C:/My%20Web%20Sites/arya/rime.s3.amazonaws.com/static/js/vendors.10b0b9cbacd5.js	(from http://arya.rime.co/)
11:39:51	20568/20568	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:09:50%20GMT	http://arya.rime.co/collections/article	C:/My%20Web%20Sites/arya/arya.rime.co/collections/article.html	(from http://arya.rime.co/collections)
11:39:53	37989/37989	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:09:52%20GMT	http://arya.rime.co/collections/photo	C:/My%20Web%20Sites/arya/arya.rime.co/collections/photo.html	(from http://arya.rime.co/collections)
11:39:55	20864/20864	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:09:54%20GMT	http://arya.rime.co/collections/quote	C:/My%20Web%20Sites/arya/arya.rime.co/collections/quote.html	(from http://arya.rime.co/collections)
11:39:55	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.17.delayed	(from http://arya.rime.co/topics)
11:39:56	19482/19482	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:09:55%20GMT	http://arya.rime.co/topics/ai	C:/My%20Web%20Sites/arya/arya.rime.co/topics/ai.html	(from http://arya.rime.co/topics)
11:40:00	19776/19776	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:09:59%20GMT	http://arya.rime.co/topics/artificial-intelligence	C:/My%20Web%20Sites/arya/arya.rime.co/topics/artificial-intelligence.html	(from http://arya.rime.co/topics)
11:40:04	342739/342739	---M--	200	added ('OK')	application/javascript	etag:%22b88ca640e9f0761a8cd94d21078154e4%22	/rime.s3.amazonaws.com/static/js/blog.min.js	C:/My%20Web%20Sites/arya/rime.s3.amazonaws.com/static/js/blog.min.js	(from http://arya.rime.co/)
11:40:04	21800/21800	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:10:01%20GMT	http://arya.rime.co/topics/artificialintelligence	C:/My%20Web%20Sites/arya/arya.rime.co/topics/artificialintelligence.html	(from http://arya.rime.co/topics)
11:40:05	21576/21576	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:10:05%20GMT	http://arya.rime.co/topics/google	C:/My%20Web%20Sites/arya/arya.rime.co/topics/google.html	(from http://arya.rime.co/topics)
11:40:06	21604/21604	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:10:06%20GMT	http://arya.rime.co/topics/iamdoing	C:/My%20Web%20Sites/arya/arya.rime.co/topics/iamdoing.html	(from http://arya.rime.co/topics)
11:40:07	21660/21660	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:10:07%20GMT	http://arya.rime.co/topics/intelligence	C:/My%20Web%20Sites/arya/arya.rime.co/topics/intelligence.html	(from http://arya.rime.co/topics)
11:40:09	21604/21604	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:10:08%20GMT	http://arya.rime.co/topics/learning	C:/My%20Web%20Sites/arya/arya.rime.co/topics/learning.html	(from http://arya.rime.co/topics)
11:40:09	19664/19664	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:10:09%20GMT	http://arya.rime.co/topics/machinelearning	C:/My%20Web%20Sites/arya/arya.rime.co/topics/machinelearning.html	(from http://arya.rime.co/topics)
11:40:11	19580/19580	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:10:10%20GMT	http://arya.rime.co/topics/programer	C:/My%20Web%20Sites/arya/arya.rime.co/topics/programer.html	(from http://arya.rime.co/topics)
11:40:12	19594/19594	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:10:12%20GMT	http://arya.rime.co/topics/technology	C:/My%20Web%20Sites/arya/arya.rime.co/topics/technology.html	(from http://arya.rime.co/topics)
11:40:12	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.22.delayed	(from http://arya.rime.co/about)
11:40:14	26731/26731	---M--	200	added ('OK')	image/jpeg	etag:%2293ceb3a76bdf3fb29cb64cf1585bdbbf%22	/rime.s3.amazonaws.com/user-place/default.jpeg	C:/My%20Web%20Sites/arya/rime.s3.amazonaws.com/user-place/default.jpg	(from http://arya.rime.co/about)
11:40:15	77402/77402	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:10:14%20GMT	http://arya.rime.co/Instagram-photo-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4f-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4follow~854929/amp	C:/My%20Web%20Sites/arya/arya.rime.co/Instagram-photo-A-person-should-never-stop-lear/amp.html	(from http://arya.rime.co/Instagram-photo-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4f-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4follow~854929)
11:40:15	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.25.delayed	(from http://arya.rime.co/Instagram-photo-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4f-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4follow~854929)
11:40:16	2260/2260	---M--	200	added ('OK')	image/jpeg	date:Wed,%2031%20May%202017%2022:09:58%20GMT	https://scontent.cdninstagram.com/t51.2885-19/s150x150/18722843_1946543935581914_820000915703463936_a.jpg	C:/My%20Web%20Sites/arya/scontent.cdninstagram.com/t51.2885-19/s150x150/18722843_1946543935581914_820000915703463936_a.jpg	(from http://arya.rime.co/Instagram-photo-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4f-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4follow~854929)
